name,currency,capital,languages,latitude,longitude,area,subregion,borders,GDP,GDP Growth,Interest Rate,Inflation Rate,Jobless Rate,Gov. Budget,Debt/GDP,Current Account,Population,region_Americas,region_Asia,region_Europe,region_Oceania
Bulgaria,Bulgarian lev,Sofia,Bulgarian,0.7924528301886792,0.4534661596415118,0.006484701356963877,Southeast Europe,"['GRC', 'MKD', 'ROU', 'SRB', 'TUR']",0.0037693177534866193,0.5768321513002365,0.030727671787945297,0.07951408061844284,0.1510574018126888,0.37244897959183676,0.08083055246570264,0.48489666136724957,0.0045455836813545845,False,False,True,False
Honduras,Honduran lempira,Tegucigalpa,Spanish,0.5283018867924528,0.05534429507435773,0.006579038552013586,Central America,"['GTM', 'SLV', 'NIC']",0.0011993283761093788,0.6004728132387707,0.09707918284653047,0.07459966869133075,0.1540785498489426,0.4035714285714286,0.13904338153503892,0.42766295707472174,0.00699593738458479,True,False,False,False
Uruguay,Uruguayan peso,Montevideo,Spanish,0.07547169811320753,0.1642475853819649,0.010587755243332362,South America,"['ARG', 'BRA']",0.0027070554775040266,0.574468085106383,0.14772919128819856,0.07526228602981778,0.2175226586102719,0.3673469387755102,0.25213199851687057,0.4483306836248012,0.0025071734992471377,True,False,False,False
Ethiopia,Ethiopian birr,Addis Ababa,Amharic,0.4622641509433962,0.499883955510328,0.06458547670939872,Eastern Africa,"['DJI', 'ERI', 'KEN', 'SOM', 'SSD', 'SDN']",0.0055511770551348386,0.5768321513002365,0.25325004220834035,0.1258972943125345,0.5679758308157099,0.3979591836734694,0.11012235817575083,0.44674085850556433,0.09376686837694254,False,False,False,False
Tajikistan,Tajikistani somoni,Dushanbe,Russian,0.7547169811320754,0.6177137450234768,0.008369164321437954,Central Asia,"['AFG', 'CHN', 'KGZ', 'UZB']",0.0004111983003803585,0.5768321513002365,0.13084585514097585,0.06957482054113749,0.3474320241691843,0.4846938775510204,0.10085279940674824,0.5993640699523052,0.007429188329213898,False,True,False,False
Botswana,Botswana pula,Gaborone,English,0.1792452830188679,0.4498955599592952,0.03403847300545375,Southern Africa,"['NAM', 'ZAF', 'ZMB', 'ZWE']",0.0005825309255388411,0.557919621749409,0.03207833867972311,0.056322473771397014,0.6948640483383686,0.21938775510204084,0.08379681127178346,0.38473767885532584,0.0017614136765249015,False,False,False,False
Albania,Albanian lek,Tirana,Albanian,0.7735849056603773,0.4356131612304287,0.001681224502265993,Southeast Europe,"['MNE', 'GRC', 'MKD', 'UNK']",0.0008566631257924135,0.5768321513002365,0.04220834036805673,0.06405300938707896,0.2598187311178248,0.43112244897959184,0.19428995179829442,0.4626391096979332,0.0016477740844910369,False,False,True,False
Nigeria,Nigerian naira,Abuja,English,0.48113207547169806,0.39276596504382916,0.05402696307225418,Western Africa,"['BEN', 'CMR', 'TCD', 'NER']",0.006373573655895555,0.7966903073286052,0.464291744048624,0.17106570955273329,0.1268882175226586,0.29336734693877553,0.18761586948461254,0.49284578696343395,0.16523196681723915,False,False,False,False
Gambia,dalasi,Banjul,English,0.5138364779245282,0.3050482328745113,0.0006250339223511121,Western Africa,['SEN'],3.4266525031696545e-05,0.5768321513002365,0.28701671450278576,0.08978464936499173,0.19335347432024166,0.35714285714285715,0.25843529847979235,0.4531001589825119,0.001931873064575698,False,False,False,False
Cyprus,Euro,Nicosia,Greek,0.7169811320754716,0.4820309570992448,0.0005409316988660023,Southern Europe,"['CHN', 'IND']",0.0011650618510776823,0.5721040189125296,0.036299172716528785,0.04527885146327995,0.11178247734138971,0.5586734693877551,0.2324805339265851,0.36724960254372013,0.0006676326031989545,False,False,True,False
